Transcribed_Text,Clean_Text,Machine_Translation,Sentiment_Label,Sentiment_Score
THE AMERICAN PEOPLE I NEED YOU I NEED EVERY AMERIA  DO TYE PAR THAT'S NOT I PERBLY I NEED YOU I NEED YOU TO GET VACTINATED WHEN IT'S YOUR TURN WHEN YOU CAN FIND AN OPPORTUNITY AND TO HELP YOUR FAMILY YOUR FRIENDS YOUR NEIGHBORS  GET VACCINATED AS WELL,the american people i need you i need every ameria do tye par that's not i perbly i need you i need you to get vactinated when it's your turn when you can find an opportunity and to help your family your friends your neighbors get vaccinated as well,"美国人,我需要你 我需要每个Ameria American 需要你 我需要的不是 我需要你 我需要你在轮到你的时候",NEGATIVE,0.9940615296363831
HERE'S THE POINT IF WE DO ALL THIS IF WE DO OUR PART IF WE DO THIS TOGETHER BY JULY THE FOURTH THERE'S A GOOD CHANCE YOU YOUR FAMILIES AND FRIENDS WE'LL BE ABLE TO GET TOGETHER IN YOUR BACK YARD OR IN YOUR NEIGHBOURHOOD AND HAVE A COOK OUT AT A BARBICUE AND CELEBRATE INDEPENDENCE DAY,here's the point if we do all this if we do our part if we do this together by july the fourth there's a good chance you your families and friends we'll be able to get together in your back yard or in your neighbourhood and have a cook out at a barbicue and celebrate independence day,"如果我们做所有这一切, 重点是如果我们做 如果我们做我们的一部分 如果我们一起做,如果我们做 我们一起做,如果我们做的第四年 7月4日......有一个很好的机会 你的家人和朋友...",POSITIVE,0.997313380241394
THAT DOESN'T MEAN LARGE EVENTS WITH LOTS OF PEOPLE TOGETHER BUT IT DOES MEAN SMALL GROUPS WILL BE ABLE TO GET TOGETHER AFTER THIS LONG HARD YEAR THAT WILL MAKE THIS INDEPENDENCE DAY SOMETHING TRULY SPECIAL WHERE WE NOT ONLY MARK OUR INDEPENDENCE AS A NATION,that doesn't mean large events with lots of people together but it does mean small groups will be able to get together after this long hard year that will make this independence day something truly special where we not only mark our independence as a nation,"并不代表大事件 很多人在一起, 但它的意思是小团体 能够聚集在一起 过了这么漫长的一年,",POSITIVE,0.9995761513710022
WEN WE BEGIN TO MARK OUR INDEPENDENCE FROM THIS VIRUS BUT TO GET THERE BET CAN'T LET OUR GUARD DOW THIS FIGHT IS FAR FROM ORDER FROM OVER AS I TOLD HA WOMAN F HIS FAT I'LL TELL YOU THE TRUTH ON JULY FOURTH WITH YOUR LOVED ONES,wen we begin to mark our independence from this virus but to get there bet can't let our guard dow this fight is far from order from over as i told ha woman f his fat i'll tell you the truth on july fourth with your loved ones,我们开始纪念我们独立 不受这种病毒的感染......但是为了获得胜利......不能让我们的警卫把 这场战斗远离秩序的结束......因为我告诉女人他胖胖的...,NEGATIVE,0.9954551458358765
IS THE GOAL BUT AF GOAL A LOT CAN HAPPEN CONDITIONS CAN CHANGE THE SCIENTISTS HAVE MADE CLEAR  THAT THINGS MAY GET WORSE AGAIN AS NEW VARIANTS OF THE VIRUS SPREAD WE'VE GOT WORK TO DO TO INTURE THAT EVERYONE HAS CONFIDENCE,is the goal but af goal a lot can happen conditions can change the scientists have made clear that things may get worse again as new variants of the virus spread we've got work to do to inture that everyone has confidence,科学家们已经表明 病毒传播的新变种 我们还有工作要做 来打入每个人的自信,NEGATIVE,0.9942113757133484
THE SAFETY AND EFFECTIVES OF ALL THREE VACCINES SO MY MESSAGE O YOU IS THIS LISTEN TO DOCTOR FOUCHE ONE MOST DISTINGUISHED AND TRUSTED VOICES IN THE WORLD HE'S ASSURED US THE VACCINES ARE SAFE THEY UNDERWENT RIGOROUS SCIENTIFIC REVIEW I KNOW,the safety and effectives of all three vaccines so my message o you is this listen to doctor fouche one most distinguished and trusted voices in the world he's assured us the vaccines are safe they underwent rigorous scientific review i know,所有三种疫苗的安全性和有效性 所以我要传达的信息是 听医生在世界上 最杰出和最信任的声音 他向我们保证疫苗是安全的 他们经过严格的科学审查 我知道,POSITIVE,0.9984948039054871
THEYRE SAFE VICE PRESIDENT HARRINAS HARRIS OND I KNOW THEY'RE SAF THAT'S WHY WE GOT THE VACCINE PUBLICLY IN FRONT OF CAMERAS SO FOR THE WORLD TO SEE SO OU CAL SEE US DO IT  THE FIRST LADY THE SECOND GENTLEMAN ALSO GOT VACINAFE TALK TO YOUR FAMILY,theyre safe vice president harrinas harris ond i know they're saf that's why we got the vaccine publicly in front of cameras so for the world to see so ou cal see us do it the first lady the second gentleman also got vacinafe talk to your family,这是安全的副总统 Harrinas Harris Harris arris  ond 我知道他们是咖啡 所以我们才在摄影机前 公开拿到疫苗 所以全世界都能看到,NEGATIVE,0.9749119281768799
ANDS YOUR NEIGHBORS THE PEOPLE YOU KNOW BEST WHO GOTTN THE VACSE WE NEED EVERY ONE TO GET VACINTE WE NEED EVERY ONE TO KEEP WASHING THEIR HANDS STAY SOCIALLY DISTANCE AND KEEP WEARING THE MASK AS RECK E MENT BY THE SED C ECAUS EVEN,ands your neighbors the people you know best who gottn the vacse we need every one to get vacinte we need every one to keep washing their hands stay socially distance and keep wearing the mask as reck e ment by the sed c ecaus even,和你的邻居 你最了解的人 谁得到的真空 我们需要每个人都得到 空放 我们需要每个人都需要 保持洗手的人 保持社会距离 并保持戴面罩,NEGATIVE,0.9904213547706604
W DEVOTE EVERY RESOURCE WE HAVE BEATING THIS FIRES AND GETTING BACK TO NORMAL DEPENDS ON NATIONAOL UNITY A NATIONAL UNITY ISN'T JUST HOW POLITICS AND POLITICIANS VOTE IN WASHINGTON WHAT THE LOUDEST VOICES SANG CAMEBR ON LINE UNITY IS WHAT WE DO TOGE,w devote every resource we have beating this fires and getting back to normal depends on nationaol unity a national unity isn't just how politics and politicians vote in washington what the loudest voices sang camebr on line unity is what we do toge,投入我们所投入的一切资源 扑灭这场大火 恢复正常取决于民族统一 国家统一,NEGATIVE,0.5907214283943176
AS FELLOW AMERICANS BECAUSE WE DON'T STAY VIGILAT AND THE CONDITIONS CHANGE THEN WE MAY HAVE TO REINSTATE RESTRICTIONS TO GET BACK ON TRACT  PLEASE WE DON'T WANT TO DO THAT AGAIN WE'VE MADE SO MUCH PROGRESS THIS IS NOT THE TIME TO LET UP,as fellow americans because we don't stay vigilat and the conditions change then we may have to reinstate restrictions to get back on tract please we don't want to do that again we've made so much progress this is not the time to let up,"作为美国同胞,因为我们不 保持维吉拉特和条件的改变 然后我们可能不得不恢复限制 重新回到原地,好吗? 我们不想这样做 再次,我们已经取得了这么多的进展 我们已经取得了这么多的进展",NEGATIVE,0.9957992434501648
JUST AS WE WERE EMERGING FROM A DARK WINTER IN THE HOPEFUL SPRING AND SUMMER AS NOT TI TIME TA NOT STICKITTHES A CLOSE OF THIS WE'VE LOST SO MUCH OVER THE LAST YEAR WEV LOST FAMILY IN FRANCE,just as we were emerging from a dark winter in the hopeful spring and summer as not ti time ta not stickitthes a close of this we've lost so much over the last year wev lost family in france,"就在我们在充满希望的春天和夏天从黑暗的冬天中 走出黑暗的冬天的时候, 春天和夏天的春天和夏天,我们不是一对一对一对一, 而不是一对一对一,我们在过去的一年中失去了如此多的家庭,",NEGATIVE,0.8894340395927429
WE'VE LOST BUSESS AND DREAMS WE SPENT YEARS BUILDING WE'VE LOST TIME TIME WITH EACH OTHER AND OUR CHILDREN AV LOST SO MUCH TIME WITH THR FRIENDS TIME WITH THER SCHOOLS NO GRADUATIONS SI MONEYS AS THI SPRING NO GRADUATIONS FROM COLLEGE,we've lost busess and dreams we spent years building we've lost time time with each other and our children av lost so much time with thr friends time with ther schools no graduations si moneys as thi spring no graduations from college,我们失去了公交车和梦想 我们花了多年建筑 我们浪费了时间 时间和彼此 孩子们失去了那么多时间 和朋友,NEGATIVE,0.9983462691307068
SCHOOLMOVING UP S YOU KNOW THERE'S SOMETHING ELSE WE LOST WE LOST FAITH IN WETHER OR GOVERNMENT AND OUR DEMOCRACY CAN DELIVER ON  REALLY ARD BANKS FOR THE AMERICAN PEOPLE BUT AS I STAND HERE TO NIGHT WE'RE PROVING ONCE AGAIN SOMETHING IVEID,schoolmoving up s you know there's something else we lost we lost faith in wether or government and our democracy can deliver on really ard banks for the american people but as i stand here to night we're proving once again something iveid,你知道我们失去的还有一样东西 我们失去了对生或政府的信心 我们的民主可以给美国人民 带来真正的银行,POSITIVE,0.9931305646896362
TIME AND TIMEAGAIN TOTTH CROMLY TIRE ME SAY I SAY TO FOREIGN LEADERS AND DOMESTIC ALIKE IT'S NEVER EVER A GOOD BET TO BET AGAINST THE AMERICAN PEOPLE AMERICA IS COMING BACK THE DEVELOPMENT MANUFACTURE AND DISTRIBUTION,time and timeagain totth cromly tire me say i say to foreign leaders and domestic alike it's never ever a good bet to bet against the american people america is coming back the development manufacture and distribution,我对外国领导人 和国内领导人说 向美国人民打赌 永远打不赢赌,NEGATIVE,0.9974204301834106
ACT SENS AND RECORD TIME IS A TRUE MIRACLE OF SCIENCE IT'S ONE OF THE MOST EXTRAORDINARY ACHIEVEMENTS ANY COUNTRY HAS EVER ACCOMPLISHED AND WE ALSO JUST SAW THE PERSEVERANCE ROVER LAND ON MARS STUNNING IMAGES OF OUR DREAMS THAT ARE NOW REALITY,act sens and record time is a true miracle of science it's one of the most extraordinary achievements any country has ever accomplished and we also just saw the perseverance rover land on mars stunning images of our dreams that are now reality,记录时间是科学的真正奇迹 这是各国最非凡的成就之一 我们也刚刚看到 坚忍不拔的漫游者,POSITIVE,0.9998668432235718
ANOTHER EXAMPLE OF THE EXTRAORDINARY AMERICAN INGENUITY COMMIMTMENT OF BELIEF IN SCIENCE AND ONE ANOTHER AND TO DAY I SIGNED IN THE LAW OF THE AMERICAN RESCUE PLANT AN HISTORIC PIECE OF LEGISLATION DELIVERS IMMEDIATE RELIEF TO MILLIONS OF PEOPLE INCLUDES ONE THOUSAND,another example of the extraordinary american ingenuity commimtment of belief in science and one another and to day i signed in the law of the american rescue plant an historic piece of legislation delivers immediate relief to millions of people includes one thousand,在美国科学以及彼此之间的信仰 以及今天我在美国援救工厂的法律中 签署一部历史性立法,POSITIVE,0.999765932559967
FOUR HUNDRED DOLLARS IN DIRECT RESCUE CHECKS PAYMENTS THAT MEANS A TYPICAL FAMILY OF FOUR EARNING ABOUT A HUNDRED TEN THOUASAND DOLLARAWILL GET CHECKS FOR FIVE THOUSAND SIX HUNDRED DOLLARS DEPOSITEDI IF THEY HAVE DIRECT DEPOSIT   OR IN A CHECK A TREASURY CHECK IT EXTENDS ONEMPLOYMENT BENEFITS IT HELPS,four hundred dollars in direct rescue checks payments that means a typical family of four earning about a hundred ten thouasand dollarawill get checks for five thousand six hundred dollars depositedi if they have direct deposit or in a check a treasury check it extends onemployment benefits it helps,直接的营救检查费 直接440美元 也就是说典型的四口家庭 收入约11万元美元 如果有直接存款 就会得到5千6百美元存款的支票 如果有直接存款 或者在一张支票中,NEGATIVE,0.9141823649406433
BUSINESSES THE LOWER SELF CARE TREATMENTS FOR MANY IT PROVIDES FOOD AND NUTRITION KEEPS FAMILIES IN THEIR HOMES AND IT WILL CUT CHILD POVERTY IN THIS COUNTRY IN HALF ACCORDING TO THE EXPERTS AND  FINED IT FUNDS ALL THE STEPS I HAVE JUST DESCRIBED TO BEAT THE VIRUS AND CRATE,businesses the lower self care treatments for many it provides food and nutrition keeps families in their homes and it will cut child poverty in this country in half according to the experts and fined it funds all the steps i have just described to beat the virus and crate,"它提供食物和营养,让家庭留在家中,根据专家的统计,它将把国内儿童贫困率减少一半,并罚款它资助我刚才描述的战胜病毒和箱式箱式箱的所有步骤。",NEGATIVE,0.9905440211296082
MILLIONS OF JOBS IN THE COMING WEEKS AND MONTHS I'LL BE TRAVELLING ALONG WITH THE FIRST LADY THE VICE  PRESIDENT THE SECOND GENTLEMAN MEMBERS OF MY CABINET TO SPEAK DIRECTLY TO YOU TO TELL YOU THE TRUTH ABOUT HOW THE AMERICAN RESCUE PLANT MEETS THE MOMENT AND IF IT FAILS IN ANY PATE IWILL,millions of jobs in the coming weeks and months i'll be travelling along with the first lady the vice president the second gentleman members of my cabinet to speak directly to you to tell you the truth about how the american rescue plant meets the moment and if it fails in any pate iwill,未来数周数月数以百万计的工作 我会和第一夫人一起旅行 副总统 内阁的第二位绅士成员,POSITIVE,0.9972477555274963
ACKNOWLEDGED IT HAD FAILED BUT IT WILL NOT BUT HOW AFTER LONG DARK YEARS ONE WHOLE YEAR THERE IS HOPE AND LIGHT ON BETTER DAYS AHEAD IF WE ALL DO OUR PART THIS COUNTRY WILL BE VACCINATED SOON OUR ECONOMY,acknowledged it had failed but it will not but how after long dark years one whole year there is hope and light on better days ahead if we all do our part this country will be vaccinated soon our economy,"历经漫长的黑暗岁月后,如果我们大家尽我们的责任,这个国家的经济将很快接种疫苗,那么在今后的更美好的岁月中,又会如何有希望和光明呢?",POSITIVE,0.9718377590179443
BEON THE MEN OUR KIDS WILL BE BACK IN SCHOOL A WE'LL HAVE TRUTH AND ONCE AGAIN TAT THIS COUNTRY CAN DO ANYTHING HEART THINGS THIGTHINGS IMPORTNANT THINGS OVER YEAR AGO NO ONE COULD HAVE IMAGINED,beon the men our kids will be back in school a we'll have truth and once again tat this country can do anything heart things thigthings importnant things over year ago no one could have imagined,"我们的孩子会回到学校的 男人身上,我们的孩子会 回到学校......我们将有真理...",POSITIVE,0.5861517190933228
WHAT WE ARE ABOUT TO GO THROUGH BUT NOW W'RE COMING THROUGH IT AT A SHARED EXPERIENCE AND BINDS US TOGETHER S NATION WE ARE BOUND TOGETHER BY THE LOSS AND THE PAIN AND THE DAYS THAT HAVE GONE BY,what we are about to go through but now w're coming through it at a shared experience and binds us together s nation we are bound together by the loss and the pain and the days that have gone by,"我们将要经历的,但现在却经历着共同的经历 把我们团结在一起 团结在一起的民族 我们团结在一起的民族",POSITIVE,0.9971776604652405
FOR ALSO BOUND IN GETHER BY THE WHOPE AND THE POSSIBILITIES THE DAYS INFRONT OF USMY FERVENT PRAYER FOR OUR COUNTHRY ISAT AFTER ALL WE BEN THROUGH COE TOGETHER AS ONE PEOP ONE NATION,for also bound in gether by the whope and the possibilities the days infront of usmy fervent prayer for our counthry isat after all we ben through coe together as one peop one nation,也因为被那些恶人所捆绑着 和我们面前的日子 我热切的祈祷,POSITIVE,0.9303025007247925
ONE AMERICA I BELIEVE WI CAN AND WE WILL WE'RE SEIZING THIS MOMENT AND HISTORY I BELIEVE WE CORD  WE'RE FACED AND OVERCAME ONE OF THE TOUGHEST AND DARKET PERIODS IN THIS NATION'S HISTOR DARKEST WE'VE EVER KNOW I PROMISE YOUU,one america i believe wi can and we will we're seizing this moment and history i believe we cord we're faced and overcame one of the toughest and darket periods in this nation's histor darkest we've ever know i promise youu,"我相信一个美国人 我相信WE能够,我们将抓住这个时刻和历史 我相信我们拉紧绳索 我们面对并克服了这个国家历史上最黑暗的 最艰难和最黑暗的时期之一",POSITIVE,0.9795304536819458
WILL COME OUT STRONGER WITH A RENEWED FAITH IN OURSELVES TO RENEWED COMMITMENT TO ONEANOER TO OUR COMMUNITIES AND TO OUR COUNRTRY THIS IS THE UNITED STATES OF AMERICA AND THME'S NOTHIN A NOTHING IN THEBOT OM MY HEART I BELIEVE THAT ER'SS NOTHING WE,will come out stronger with a renewed faith in ourselves to renewed commitment to oneanoer to our communities and to our counrtry this is the united states of america and thme's nothin a nothing in thebot om my heart i believe that er'ss nothing we,将更加强大 以新的信念 将更加强大 将更加坚定 对自己重新承诺 对我们的社区 以及对我们的社区,POSITIVE,0.9834340810775757
WE DOIT TOGETHER SO GOD BLESS YOU ALL PLEASE GOD GIVE SOLECE TO ALL THOS PEE  A SO MAY GOD PROTE TOC O THANK YOU E TAKING TATIMEOUFOR PEEE,we doit together so god bless you all please god give solece to all thos pee a so may god prote toc o thank you e taking tatimeoufor peee,愿上帝保佑你们 愿上帝保佑你们 愿上帝保佑你们 愿上帝保佑你们 愿上帝保佑你们 愿上帝保佑你们,POSITIVE,0.6913182735443115
